,id,ministerio,entidad,sigla,condicion
140,141.0,Ministerio De Obras Públicas,Dirección General de Aguas,DGA ,Organismo Centralizado
141,142.0,Ministerio De Obras Públicas,Superintendencia de Servicios Sanitarios,,Organismo Descentralizado
142,143.0,Ministerio De Obras Públicas,Instituto Nacional de Hidráulica,INH,Organismo Descentralizado
143,144.0,Ministerio De Obras Públicas,Secretarías Regionales Ministeriales,,Organismo Desconcentrado Territorialmente
144,145.0,Ministerio De Obras Públicas,Subsecretaría,,Organismo Centralizado
145,146.0,Ministerio De Agricultura,Oficina de Estudios y Políticas Agrarias,ODEPA,Organismo Centralizado
146,147.0,Ministerio De Agricultura,Instituto de Desarrollo Agropecuario,INDAP,Organismo Descentralizado
147,148.0,Ministerio De Agricultura,Corporación Nacional Forestal,CONAF,Organismo Descentralizado
148,149.0,Ministerio De Agricultura,Servicio Agrícola y Ganadero,SAG,Organismo Descentralizado
149,150.0,Ministerio De Agricultura,Comisión Nacional de Riego,CNR,Organismo Descentralizado
150,151.0,Ministerio De Agricultura,Secretarías Regionales Ministeriales,,Organismo Desconcentrado Territorialmente
151,152.0,Ministerio De Agricultura,Subsecretaría,,Organismo Centralizado
152,153.0,Ministerio De Agricultura,Instituto de Investigaciones Agropecuarias,INIA,
153,154.0,Ministerio De Agricultura,Fundación para la Innovación Agraria,FIA,
154,155.0,Ministerio De Agricultura,Instituto Forestal,INFOR,
155,156.0,Ministerio De Agricultura,Centro de Información de Recursos Naturales,CIREN,
156,157.0,Ministerio De Agricultura,Comité de Seguros del Agro,AGROSEGUROS,
157,158.0,Ministerio De Agricultura,"Fundación de Comunicaciones, Capacitación y Cultura del Agro",FUCOA,
158,159.0,Ministerio De Agricultura,Agencia Chilena para la Inocuidad y Calidad Alimentaria,ACHIPIA,
159,160.0,Ministerio De Agricultura,Departamento Gestión Integral de Riesgos,DGIR,
160,161.0,Ministerio Del Trabajo y Previsión Social,Secretarías Regionales Ministeriales,,Organismo Desconcentrado Territorialmente
161,162.0,Ministerio Del Trabajo y Previsión Social,Dirección del Trabajo,,Organismo Descentralizado
162,163.0,Ministerio Del Trabajo y Previsión Social,Servicio Nacional de Capacitación y Empleo,SENCE,Organismo Descentralizado
163,164.0,Ministerio Del Trabajo y Previsión Social,Dirección General de Crédito Prendario,,Organismo Descentralizado
164,165.0,Ministerio Del Trabajo y Previsión Social,Superintendencia de Seguridad Social,SUSESO,Organismo Descentralizado
165,166.0,Ministerio Del Trabajo y Previsión Social,Superintendencia de Pensiones,SP,Organismo Descentralizado
166,167.0,Ministerio Del Trabajo y Previsión Social,Instituto de Previsión Social,INP,Organismo Descentralizado
167,168.0,Ministerio Del Trabajo y Previsión Social,Subsecretaría del Trabajo,,Organismo Centralizado
168,169.0,Ministerio Del Trabajo y Previsión Social,Subsecretaría de Previsión Social,,Organismo Centralizado
169,170.0,Ministerio Del Trabajo y Previsión Social,Comisión del Sistema Nacional de Certificación de Competencias Laborales,ChileValora,Organismo Descentralizado
170,171.0,Ministerio Del Trabajo y Previsión Social,Instituto de Seguridad Laboral,ISL,Organismo Descentralizado
171,172.0,Ministerio De Salud,Servicios de Salud,,Organismo Descentralizado
172,173.0,Ministerio De Salud,Instituto de Salud Pública,ISP,Organismo Descentralizado
173,174.0,Ministerio De Salud,Fondo Nacional de Salud,FONASA,Organismo Descentralizado
174,175.0,Ministerio De Salud,Central de Abastecimiento del Sistema Nacional de Servicios de Salud,CENABAST,Organismo Descentralizado
175,176.0,Ministerio De Salud,Secretarías Regionales Ministeriales,,Organismo Desconcentrado Territorialmente
176,177.0,Ministerio De Salud,Subsecretaría de Salud Pública,,Organismo Centralizado
177,178.0,Ministerio De Salud,Subsecretaría de Redes Asistenciales,,Organismo Centralizado
178,179.0,Ministerio De Salud,Superintendencia de Salud,,Organismo Descentralizado
179,180.0,Ministerio De Salud,Centros de Referencia ,,Organismo Descentralizado
180,181.0,Ministerio De Minería,Secretarías Regionales Ministeriales,,Organismo Desconcentrado Territorialmente
181,182.0,Ministerio De Minería,Comisión Chilena del Cobre,COCHILCO,Organismo Descentralizado
182,183.0,Ministerio De Minería,Servicio Nacional de Geología y Minería,SERNAGEOMIN,Organismo Descentralizado
183,184.0,Ministerio De Minería,Subsecretaría,,Organismo Centralizado
184,185.0,Ministerio De Minería,Corporación Nacional del Cobre de Chile,CODELCO,Empresa Pública Creada por Ley
185,186.0,Ministerio De Minería,Empresa Nacional de Minería,ENAMI,Empresa Pública Creada por Ley
186,187.0,Ministerio De Vivienda y Urbanismo,Subsecretaría,,Organismo Centralizado
187,188.0,Ministerio De Vivienda y Urbanismo,Secretarías Regionales Ministeriales,,Organismo Desconcentrado Territorialmente
188,189.0,Ministerio De Vivienda y Urbanismo,Servicios Regionales de Vivienda y Urbanización,SEREMI,Organismo Descentralizado
189,190.0,Ministerio De Vivienda y Urbanismo,Parque Metropolitano de Santiago,,Organismo Centralizado
